,0,,,,1
63,78.67405826,17.24650706,78.67905826,17.24150706,3711.591505
64,78.67405826,17.24150706,78.67905826,17.23650706,255.9127104
65,78.67905826,17.25150706,78.68405826,17.24650706,5271.856152
66,78.67905826,17.24650706,78.68405826,17.24150706,2990.152416
67,78.67905826,17.26150706,78.68405826,17.25650706,3724.391837
68,78.68405826,17.25650706,78.68905826,17.25150706,1046.310525
69,78.67405826,17.25150706,78.67905826,17.24650706,2248.629427
70,78.63905826,17.32150706,78.64405826,17.31650706,7070.65415
71,78.63905826,17.31650706,78.64405826,17.31150706,5500.152297
72,78.64405826,17.31650706,78.64905826,17.31150706,5204.987176
73,78.64405826,17.31150706,78.64905826,17.30650706,5331.410094
74,78.62905826,17.32150706,78.63405826,17.31650706,4299.945965
75,78.63405826,17.32150706,78.63905826,17.31650706,8348.865582
76,78.67905826,17.26650706,78.68405826,17.26150706,3534.63871
77,78.67405826,17.28150706,78.67905826,17.27650706,754.1471787
78,78.67905826,17.28650706,78.68405826,17.28150706,1299.476183
79,78.67905826,17.28150706,78.68405826,17.27650706,916.2667741
80,78.58405826,17.30650706,78.58905826,17.30150706,8736.200054
81,78.60905826,17.32150706,78.61405826,17.31650706,7393.99411
82,78.60905826,17.31650706,78.61405826,17.31150706,10246.17439
83,78.60405826,17.31150706,78.60905826,17.30650706,2757.437973
84,78.60905826,17.31150706,78.61405826,17.30650706,7462.258547
85,78.61405826,17.31650706,78.61905826,17.31150706,8563.386927
86,78.61405826,17.31150706,78.61905826,17.30650706,6018.2314
87,78.60905826,17.30650706,78.61405826,17.30150706,9126.105706
88,78.59905826,17.32650706,78.60405826,17.32150706,5827.087536
89,78.60405826,17.33650706,78.60905826,17.33150706,8110.03853
90,78.60405826,17.33150706,78.60905826,17.32650706,8424.544083
91,78.60905826,17.33650706,78.61405826,17.33150706,8247.983632
92,78.61405826,17.36150706,78.61905826,17.35650706,2200.322807
93,78.61905826,17.36150706,78.62405826,17.35650706,1588.56228
94,78.62405826,17.36150706,78.62905826,17.35650706,580.4470532
95,78.62905826,17.36150706,78.63405826,17.35650706,1018.781608
96,78.62905826,17.35650706,78.63405826,17.35150706,3777.584904
97,78.63405826,17.35650706,78.63905826,17.35150706,4063.266132
98,78.63905826,17.36150706,78.64405826,17.35650706,4410.650155
99,78.63905826,17.35650706,78.64405826,17.35150706,1851.219128
100,78.64405826,17.36650706,78.64905826,17.36150706,1316.784775
101,78.64405826,17.36150706,78.64905826,17.35650706,3739.908457
102,78.64905826,17.36650706,78.65405826,17.36150706,2285.544971
103,78.65405826,17.36650706,78.65905826,17.36150706,5585.157241
104,78.65905826,17.37150706,78.66405826,17.36650706,2826.356606
105,78.65905826,17.36650706,78.66405826,17.36150706,4923.256458
106,78.66405826,17.37150706,78.66905826,17.36650706,1918.050067
107,78.66905826,17.37150706,78.67405826,17.36650706,3466.106717
108,78.59405826,17.35650706,78.59905826,17.35150706,2754.499205
109,78.59405826,17.35150706,78.59905826,17.34650706,2938.415236
110,78.59905826,17.35650706,78.60405826,17.35150706,3318.252525
111,78.62405826,17.34150706,78.62905826,17.33650706,8888.991552
112,78.62405826,17.33650706,78.62905826,17.33150706,6817.157805
113,78.62905826,17.33650706,78.63405826,17.33150706,2558.397441
114,78.62905826,17.33150706,78.63405826,17.32650706,4205.094572
115,78.62905826,17.32650706,78.63405826,17.32150706,4377.563442
116,78.63405826,17.32650706,78.63905826,17.32150706,4764.113181
117,78.63405826,17.37650706,78.63905826,17.37150706,3273.215336
118,78.63905826,17.37650706,78.64405826,17.37150706,1533.763068
