,Lat,Long,Light,LULC,NDVI,Road,Label
97,17.3275,78.0475,0.37551,12,0.39588,0.0,0
98,17.3325,78.0475,0.57834,12,0.38172,0.0,0
99,17.3375,78.0475,0.50824,12,0.37658,0.0,0
100,17.3425,78.0475,0.37569,12,0.39351,0.0,0
101,17.3475,78.0475,0.37192,12,0.41739,0.0,0
102,17.3525,78.0475,0.4132,12,0.43478,0.0,0
103,17.3575,78.0475,0.3185,12,0.4392,0.0,0
104,17.3625,78.0475,0.26375,12,0.43134,0.0,0
105,17.3675,78.0475,0.30536,12,0.43362,0.0,0
106,17.3725,78.0475,0.28119,12,0.47398,0.0,0
107,17.3775,78.0475,0.25143,13,0.46807,0.0,0
108,17.3825,78.0475,0.30026,13,0.43132,0.0,0
109,17.3875,78.0475,0.76526,12,0.42278,0.0,0
110,17.3925,78.0475,2.13462,12,0.41194,0.0,0
111,17.6175,78.0475,0.62596,12,0.525,0.0,0
112,17.6225,78.0475,0.54058,12,0.52739,0.0,0
113,17.6275,78.0475,0.89166,12,0.51388,0.0,0
114,17.6325,78.0475,0.73565,12,0.50424,0.0,0
115,17.6375,78.0475,0.3684,12,0.50513,0.0,0
116,17.1875,78.05251,0.20906,12,0.46946,0.0,0
117,17.1925,78.05251,0.25144,12,0.47113,0.0,0
118,17.1975,78.05251,0.27829,12,0.45008,0.0,0
119,17.2025,78.05251,0.20124,12,0.44115,0.0,0
120,17.2625,78.05251,0.21733,12,0.43477,0.0,0
121,17.2675,78.05251,0.20177,12,0.41834,0.0,0
122,17.2725,78.05251,0.20513,12,0.39306,0.0,0
123,17.2775,78.05251,0.22978,12,0.405,0.0,0
124,17.2825,78.05251,0.27814,12,0.42357,0.0,0
125,17.2875,78.05251,0.33715,12,0.41754,0.0,0
126,17.2925,78.05251,0.28668,12,0.43619,0.0,0
127,17.2975,78.05251,0.44449,12,0.43912,0.0,0
128,17.3025,78.05251,0.44555,12,0.41586,0.0,0
129,17.3075,78.05251,0.34341,12,0.41265,0.0,0
130,17.3125,78.05251,0.26594,12,0.39994,533.24994,0
131,17.3175,78.05251,0.30624,12,0.38105,0.0,0
132,17.3225,78.05251,0.3308,12,0.38047,0.0,0
133,17.3275,78.05251,0.35221,12,0.38371,0.0,0
134,17.3325,78.05251,0.3419,12,0.3763,0.0,0
135,17.3375,78.05251,0.32755,12,0.38573,0.0,0
136,17.3425,78.05251,0.34287,12,0.39257,0.0,0
137,17.3475,78.05251,0.40024,12,0.41561,0.0,0
138,17.3525,78.05251,0.47763,12,0.42532,0.0,0
